Image,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,area,angle_from_180
{22},353.26214599610887,304.8922729492364,262.61004638673654,298.09747314451596,269.6588439941254,207.35456848142746,360.2586975097485,214.4081420898584,8260.564846711524,4.286571631686229
{23},354.4431152343975,303.6632080078382,264.215057373074,297.6883239745855,270.03417968747794,207.3583374023186,360.4426574706765,213.33959960939828,8193.486307242616,3.7885838512578403
{24},355.4661254882849,302.52496337891034,265.438476562504,297.36077880859017,270.52105712890267,207.35583496093352,360.6097106933554,212.39776611328483,8137.276162059061,3.2830146432975766
{25},356.3791809081979,301.5221252441349,266.4449462890558,297.23406982422483,270.7838439941465,207.3569488525455,360.66305541992773,211.5912628173775,8101.344892803369,2.7297897480641495
{26},357.1618652343716,300.63940429687125,267.43905639648074,296.8227844238315,271.2477416992214,207.29495239258102,360.88217163086233,210.91450500488014,8051.565453237396,2.435773693955298
{27},357.75079345701886,299.7137451171742,268.4794006347523,296.60296630860614,271.4803466797,207.06373596192753,361.1953735351696,210.3525390624877,8015.499315659283,1.9957390859461839
{28},358.4524230957032,299.1434326171875,269.06362915039,296.42990112304744,271.8837585449219,207.00642395019534,361.2661132812505,209.7004699707026,8001.656055795349,1.7387657267991017
{29},358.9354858398523,298.4753723144622,269.66543579102523,296.03347778319403,272.34155273436625,206.73333740233443,361.4559020995995,209.39454650879847,7961.724991893738,1.5668790445452032
{30},359.6698913574137,297.9364929199133,270.61981201170914,295.711853027353,272.3523864746183,206.70909118653267,361.4013671875091,208.74742126463966,7937.641299536997,1.4310595948103355
{31},359.84805297852813,297.3709716797006,270.89443969727853,295.63702392576874,272.65338134764374,206.64653015135417,361.644470214831,208.37886047364506,7920.846373353634,1.116709085304592
{32},360.576263427722,296.9099426269404,271.55914306639426,295.59173583985535,273.0429992675905,206.5612335205206,361.81076049805927,208.13687133787857,7904.663443128709,0.8484004538474892
{33},360.55783081054005,296.3295288085868,271.7575378417904,295.29852294922506,273.4174804687563,206.78224182129557,362.2356567382881,207.43218994139954,7879.38656022233,0.6651963444943476
{34},360.7551269531255,296.4275512695318,272.52392578125034,294.77294921874966,273.237976074218,206.5712890624992,362.4279479980459,207.22395324707122,7870.239041764755,1.0743433412019385
{35},361.47506713867574,296.07440185547273,272.80496215820745,294.5613708496052,273.38131713866767,206.08943176269105,362.25970458984006,207.4055938720739,7863.730775241522,0.9775772638543003
{36},362.0000000000025,295.0000000000025,272.57263183594046,294.99999999999716,274.26446533202835,205.66488647460636,361.99999999999756,207.39309692383043,7837.621284603141,3.410605131648481e-12
{37},362.0000000000027,295.00000000000273,273.03952026367557,294.99999999999625,274.4221496581995,205.56892395019148,361.9999999999975,207.09573364258057,7827.149056091221,4.206412995699793e-12
{38},361.6198120117145,295.0141601562456,273.9999999999954,294.97418212891085,274.0000000000038,205.93333435058975,362.83926391602023,206.1225128173782,7849.520777804624,0.026142170680373056
{39},361.5778198242029,295.4120788574054,273.9999999999843,294.0290832519686,274.0000000000162,206.0000000000162,363.29705810548495,205.999999999984,7846.815396696256,0.9047179480520526
{40},362.261688232427,294.90527343750534,274.0000000000035,293.59823608398096,273.9999999999971,205.99999999999707,363.34967041015204,206.00000000000415,7837.612541160117,0.8484117179206692
{41},363.0000000000005,294.0000000000005,273.73333740234415,293.9999999999996,274.5310363769531,206.00000000000009,362.9999999999999,206.0000000000001,7820.36755371093,5.684341886080801e-13
